出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"115/04/11","115/3","5439","高技","電子零組件業","913646","819107","569895","11.541715551203932","60.31830424902833","2537736","1424239","78.18189222454939","115年3月營收淨額較去年同期增加343,751仟元，因客戶需求增加"
"115/04/11","115/3","5443","均豪","半導體業","405056","353653","247026","14.53486892518938","63.973023082590494","1028144","831558","23.640684113435263","配合客戶出貨"
"115/04/11","115/3","5450","南良","其他","236895","143476","228827","65.11123811647941","3.5258077062584396","600212","599111","0.1837722892752762","-"
"115/04/11","115/3","5452","佶優","其他電子業","424991","285154","491610","49.03911570589927","-13.551188950590916","1106647","1352610","-18.18432511958362","-"
"115/04/11","115/3","5455","昇益","建材營造","6832","262","20385","2507.6335877862593","-66.48516065734609","7365","287001","-97.4338068508472","本年營收較去年減少係因去年個案交屋認列收入，且交屋量體較大，故與去年同期營收相比較變動減少幅度較大。"
"115/04/11","115/3","5457","宣德","電子零組件業","1890764","1398657","1931411","35.184251750071674","-2.1045235840533163","5132408","5364672","-4.329509800412774","-"
"115/04/11","115/3","5460","同協","電子零組件業","27466","19254","23589","42.65087773969045","16.435626775191828","69915","57681","21.20975711239403","-"
"115/04/11","115/3","5464","霖宏","電子零組件業","120732","66592","79670","81.30105718404613","51.540102924563826","290823","243121","19.620682705319574","訂單增加"
"115/04/11","115/3","5465","富驊","電腦及週邊設備業","289103","257492","609624","12.2764979106147","-52.57683424537092","1072545","1568698","-31.62833126580132","訂單減少"
"115/04/11","115/3","5468","凱鈺","半導體業","29181","7837","9130","272.3491131810642","219.61664841182915","48163","29247","64.67671897972441","認列建設營收增加所致"
"115/04/11","115/3","5474","聰泰","電腦及週邊設備業","81535","88583","82818","-7.956379892304392","-1.5491801299234467","289445","288181","0.4386132326558656","-"
"115/04/11","115/3","5475","德宏","電子零組件業","138614","81744","67590","69.5708553532981","105.08063322976771","320761","166386","92.78124361424639","市場價格及需求數量上漲"
